Angela Alsobrooks,Democratic,"6,592","4,697","6,500",570,"18,359",34.15%
Larry Hogan,Republican,"15,722","11,467","5,531",860,"33,580",62.47%
Mike Scott,Libertarian,675,722,233,61,"1,691",3.15%
Patrick J. Burke (Write In),"OtherCandidates",17,4,3,0,24,0.04%
Billy Bridges (Write In),Unaffiliated,1,1,0,0,2,0.00%
Irwin William Gibbs (Write In),Unaffiliated,0,0,0,0,0,0.00%
"Christy Renee Helmondollar(Write In)",Unaffiliated,0,0,0,1,1,0.00%
Robin Rowe (Write In),Unaffiliated,2,1,0,0,3,0.01%
Other Write-Ins,,54,31,10,0,95,0.18%
